bundle_id,signer,label,score,fee_wei
benign_1000,0x33a330a68d824BF56C7DbC42D4cd827368441321,L,20756916868.282497,0
benign_1001,0x6EB781d4d8e30BEA6466b96C4c30180d4F0263Ca,L,101559754712.880417,0
benign_1002,0xa493f3Adf76560092088a61e9e314a08D0B1B2b8,L,42173203927.133049,0
adv2_1003,0xc02d3f792e966f0507dc7f1b169ba98285ac88f9,L,0.000000,52718000000001000
adv2_1004,0xa2cc3dc00f7ea71152772ba97546fa6c756e78d7,L,0.000000,52718000000001000
adv2_1005,0x01bef500938471f0de24b82b3b69233d82cb1d88,L,0.000000,52718000000001000
adv2_1006,0xdde246f769dd972fc6845abb865cb975ec0b35f6,L,0.000000,52718000000001000
adv2_1007,0x3c5ff3faa3ef18140bf3c5fb2b530689cfa0c6ef,L,0.000000,52718000000001000
adv2_1008,0xcc58c60ec5b0a0f4a7910e2f4f065a66e62139b3,L,0.000000,52718000000001000
adv2_1009,0xdef32792b03374a960efaab443ad398de4719f57,L,0.000000,52718000000001000
adv2_1010,0xbd6ac74c570eb3b60020f7fc1fcaf7521f0d9e20,L,0.000000,52718000000001000
adv2_1011,0x6e493930e5b5ef1e9eb5dfb7a157f78c3eb3e3e1,L,0.000000,52718000000001000
adv2_1012,0x8ceffcfd5355a7ffc79e05a54f2cb32d6e6e0962,L,0.000000,52718000000001000
adv1_1013,0xc02d3f792e966f0507dc7f1b169ba98285ac88f9,H,500000000000.009460,0
adv1_1014,0xa2cc3dc00f7ea71152772ba97546fa6c756e78d7,H,500000000000.009460,0
adv1_1015,0x01bef500938471f0de24b82b3b69233d82cb1d88,H,500000000000.009460,0
adv1_1016,0xdde246f769dd972fc6845abb865cb975ec0b35f6,H,500000000000.009460,0
adv1_1017,0x3c5ff3faa3ef18140bf3c5fb2b530689cfa0c6ef,H,500000000000.009460,0
adv1_1018,0xcc58c60ec5b0a0f4a7910e2f4f065a66e62139b3,H,500000000000.009460,0
adv1_1019,0xdef32792b03374a960efaab443ad398de4719f57,H,500000000000.009460,0
adv1_1020,0xbd6ac74c570eb3b60020f7fc1fcaf7521f0d9e20,H,500000000000.009460,0
adv1_1021,0x6e493930e5b5ef1e9eb5dfb7a157f78c3eb3e3e1,H,500000000000.009460,0
adv1_1022,0x8ceffcfd5355a7ffc79e05a54f2cb32d6e6e0962,H,500000000000.009460,0
